Cycle Nr.,Time [s],Temp. [°C],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Time
1,0.0,37.2,0.1128000021,0.11180000009999999,0.1186000034,0.12129999699999999,0.11309999970000001,0.11110000310000001,0.1177999973,0.11509999630000001,0.1080000028,0.11710000039999999,0.1090999991,0.1076000035,0.1158000007,0.11079999800000001,0.1202000007,0.11270000039999999,0.1124000028,0.1108999997,0.11509999630000001,0.1128000021,0.1089000031,0.1204999983,0.1110000014,0.1036000028,0.11020000279999999,0.117399998,0.1108999997,0.1092000008,0.1163000017,0.1070000008,0.11540000140000001,0.11550000310000001,0.1181999967,0.1133000031,0.1120000035,0.1089999974,0.1234000027,0.1092000008,0.1115999967,0.1101000011,0.11289999630000001,0.117899999,0.10790000109999999,0.11710000039999999,0.1145000011,0.1158000007,0.11519999800000001,0.1098999977,0.10869999970000001,0.1101000011,0.10869999970000001,0.1114000008,0.10620000210000001,0.1169999987,0.1158000007,0.1143999994,0.1140000001,0.1204999983,0.1177000031,0.1115000024,0.1270000041,0.1114000008,0.1247999966,0.1247000024,0.1199000031,0.1137000024,0.11519999800000001,0.1296000034,0.1231999993,0.11959999800000001,0.1143999994,0.1143999994,0.1089000031,0.1114000008,0.11500000210000001,0.11360000070000001,0.125,0.1204999983,0.115699999,0.12330000099999999,0.1291999966,0.11670000109999999,0.1066000015,0.1039000005,0.1334999949,0.11749999970000001,0.11729999630000001,0.12399999800000001,0.1351999938,0.12659999730000002,0.114699997,0.115699999,0.1084000021,0.1177000031,0.1216999963,0.1110000014,0.0
2,1136.9,37.4,0.1164000034,0.11509999630000001,0.11890000099999999,0.1208999977,0.11729999630000001,0.1143999994,0.1221000031,0.1220000014,0.1120999977,0.120099999,0.1140000001,0.113499999,0.1187999994,0.1137999967,0.12330000099999999,0.1162,0.1159999967,0.11479999869999999,0.11980000140000001,0.1168000028,0.1132000014,0.1248999983,0.1158000007,0.10859999810000001,0.1137999967,0.12160000210000001,0.11540000140000001,0.1124000028,0.1190000027,0.1108999997,0.1184,0.1203999966,0.1224000007,0.11749999970000001,0.11670000109999999,0.11959999800000001,0.12620000539999998,0.11309999970000001,0.1143999994,0.1120999977,0.1168000028,0.1203999966,0.1124000028,0.1193000004,0.1177000031,0.11940000210000001,0.11890000099999999,0.1149000004,0.1115000024,0.1137999967,0.11249999699999999,0.1138999984,0.1092000008,0.1204999983,0.11980000140000001,0.1177999973,0.11689999699999999,0.1243000031,0.1208999977,0.1162,0.13070000710000002,0.1143999994,0.127700001,0.13470000029999998,0.1240999997,0.1176000014,0.1185000017,0.13259999449999998,0.1342999935,0.1228,0.1185000017,0.11959999800000001,0.1128000021,0.1193000004,0.1184,0.11689999699999999,0.1243000031,0.1253000051,0.1182999983,0.12839999789999998,0.128700003,0.11980000140000001,0.1106999964,0.10419999810000001,0.136500001,0.1202000007,0.11890000099999999,0.1229000017,0.1386000067,0.12890000640000002,0.11540000140000001,0.121100001,0.110299997,0.12160000210000001,0.1208000034,0.112999998,0.3158055555555556
3,2273.7,37.3,0.1221000031,0.126000002,0.12420000140000001,0.1251000017,0.1247000024,0.1221999973,0.1312000006,0.1289999932,0.1207000017,0.1298999935,0.1230999976,0.121799998,0.12359999869999999,0.119099997,0.1309999973,0.1216999963,0.12189999970000001,0.1221000031,0.1272000074,0.12370000029999999,0.1207000017,0.1326999962,0.12420000140000001,0.1181000024,0.1187999994,0.1280000061,0.11940000210000001,0.1182999983,0.1251000017,0.1176000014,0.1247000024,0.1281999946,0.1299999952,0.1272000074,0.1246000007,0.1292999983,0.1316999942,0.1209999993,0.11949999630000001,0.1172000021,0.12420000140000001,0.1268000007,0.11890000099999999,0.12620000539999998,0.1247999966,0.1257999986,0.1251000017,0.12439999730000001,0.1180000007,0.1199000031,0.1177999973,0.1202000007,0.11869999769999999,0.127700001,0.1268000007,0.12399999800000001,0.1213999987,0.1296000034,0.1278000027,0.12420000140000001,0.1389999986,0.12030000240000001,0.132100001,0.1386999935,0.12890000640000002,0.1247000024,0.1256999969,0.1404999942,0.12890000640000002,0.12839999789999998,0.1247999966,0.1272999942,0.1181999967,0.11919999869999999,0.1291999966,0.1229000017,0.131099999,0.1316999942,0.12590000029999998,0.1315000057,0.1344999969,0.1251000017,0.1187999994,0.1040000021,0.14270000160000001,0.1254999936,0.1295000017,0.13500000539999998,0.1430999935,0.1372999996,0.12189999970000001,0.1257999986,0.11749999970000001,0.1275999993,0.1407999992,0.1080000028,0.6315833333333333
4,3410.5,37.3,0.1315000057,0.1404999942,0.1334999949,0.1338,0.1342000067,0.132100001,0.1468999982,0.13770000640000002,0.13189999759999999,0.1413999945,0.13529999550000002,0.136500001,0.1316000074,0.1280000061,0.139200002,0.1299999952,0.1316000074,0.1330000013,0.136800006,0.1344999969,0.1316999942,0.1440999955,0.1360000074,0.1323000044,0.1272999942,0.1333999932,0.1294,0.1273999959,0.1344999969,0.1275999993,0.134100005,0.13950000699999998,0.1406999975,0.136800006,0.1360000074,0.1432999969,0.13950000699999998,0.1299999952,0.12839999789999998,0.12620000539999998,0.1333999932,0.1366000026,0.130400002,0.13689999279999998,0.134100005,0.1351999938,0.1351000071,0.1380999982,0.1263999939,0.1296000034,0.1274999976,0.1288000047,0.1257999986,0.13529999550000002,0.1372999996,0.1338,0.1312000006,0.1380999982,0.136800006,0.135800004,0.1479000002,0.1288000047,0.14169999960000002,0.150000006,0.1370999962,0.1360999942,0.1356000006,0.1492999941,0.1500999928,0.143900007,0.1338,0.1393000036,0.1257999986,0.1307999939,0.1379999965,0.130400002,0.136500001,0.1380999982,0.1404999942,0.1387999952,0.1422999948,0.1336999983,0.1269000024,0.1039000005,0.1507000029,0.1370999962,0.1298000067,0.1586000025,0.1492999941,0.14550000429999999,0.1361999959,0.1349000037,0.1263000071,0.13740000130000002,0.177699998,0.11039999869999999,0.9473611111111112
5,4547.4,36.9,0.1450999975,0.14640000460000002,0.1466999948,0.1469999999,0.1485999972,0.1465000063,0.1583999991,0.1533000022,0.1485999972,0.1572999954,0.15369999410000001,0.1553999931,0.1438000053,0.141900003,0.15119999650000002,0.1425999999,0.1469999999,0.1497000009,0.1528999954,0.1509000063,0.1492999941,0.1627999991,0.1537999958,0.1509000063,0.1393000036,0.1465999931,0.1413999945,0.143900007,0.150000006,0.1428000033,0.150000006,0.1550000012,0.1579000056,0.1552000046,0.1536000073,0.1606000066,0.1513999999,0.1430999935,0.1405999959,0.13950000699999998,0.1476999968,0.1515000015,0.145600006,0.1528999954,0.1482000053,0.150000006,0.1507000029,0.15719999369999998,0.139200002,0.142900005,0.1409000009,0.141900003,0.1460999995,0.1479000002,0.1527999938,0.14890000220000002,0.14569999279999998,0.15369999410000001,0.1518000066,0.1529999971,0.1607999951,0.1421000063,0.1545999944,0.1603000015,0.1510999948,0.1499000043,0.15049999949999998,0.1618999988,0.1860000044,0.1518000066,0.1481000036,0.1559000015,0.1383000016,0.1381999999,0.141200006,0.1465000063,0.14830000699999998,0.1520999968,0.1720000058,0.15260000529999998,0.1571000069,0.147300005,0.14270000160000001,0.1044000015,0.1648000032,0.14800000189999998,0.14020000400000002,0.150000006,0.1622000039,0.15929999949999998,0.1481000036,0.1476999968,0.138500005,0.1553999931,0.15369999410000001,0.1089000031,1.2631666666666663
6,5684.2,37.0,0.1639000028,0.169599995,0.1661999971,0.1670999974,0.16830000280000001,0.1692000031,0.1789000034,0.17900000510000005,0.1703999937,0.18039999899999998,0.17810000480000002,0.17900000510000005,0.1615999937,0.16130000349999998,0.1670999974,0.16130000349999998,0.1657000035,0.173299998,0.1773999929,0.1747000068,0.16979999839999999,0.1861000061,0.1761000007,0.1738000065,0.1581999958,0.16850000620000002,0.1617999971,0.1659000069,0.17129999399999998,0.16449999810000002,0.17260000109999998,0.1773000062,0.1806000024,0.1741999984,0.17669999600000005,0.18520000579999998,0.1701000035,0.16680000720000002,0.15989999470000002,0.15899999439999998,0.1676000059,0.1735000014,0.168599993,0.1721999943,0.1676000059,0.1703999937,0.1709000021,0.1826000065,0.1574999988,0.1626999974,0.1625999957,0.1608999968,0.16230000560000002,0.170599997,0.1747000068,0.1682000011,0.1650999933,0.17299999300000002,0.1714999974,0.1755000055,0.172299996,0.15989999470000002,0.1711000055,0.1750999987,0.16830000280000001,0.1699000001,0.170599997,0.1836999953,0.1770000011,0.1735000014,0.1670999974,0.1787,0.1548999995,0.1528999954,0.15649999679999999,0.1650999933,0.16359999779999998,0.16969999670000002,0.1738000065,0.1699000001,0.17450000350000006,0.1680999994,0.1614000052,0.1040000021,0.184799999,0.1661999971,0.1600999981,0.15680000189999999,0.186499998,0.1741999984,0.16419999300000002,0.16789999600000002,0.15569999810000001,0.1715999991,0.1879000068,0.1093999967,1.5789444444444445
7,6821.0,37.3,0.18410000210000002,0.1900999993,0.1879999936,0.1870000064,0.19089999789999998,0.1921000034,0.2021999955,0.1970999986,0.1942999959,0.20520000160000001,0.20430000129999998,0.2062000036,0.181099996,0.18269999329999997,0.19040000440000002,0.1828999966,0.1867000014,0.195600003,0.2008000016,0.1970999986,0.1906999946,0.21160000559999997,0.2028000057,0.2038999945,0.1773000062,0.18860000370000002,0.1833000034,0.18970000739999998,0.19040000440000002,0.1855999976,0.1942999959,0.19910000260000002,0.20329999920000005,0.19619999829999998,0.20020000640000002,0.2150000036,0.1896000057,0.1915999949,0.1833000034,0.1817000061,0.1903000027,0.195600003,0.1911000013,0.19499999280000002,0.1896000057,0.19280000030000002,0.1940000057,0.2081999928,0.177699998,0.1844000071,0.1855999976,0.18129999940000002,0.18819999690000005,0.1913000047,0.196600005,0.1888000071,0.18590000269999998,0.197300002,0.1949000061,0.2008000016,0.1988999993,0.1805000007,0.1916999966,0.1924999952,0.19040000440000002,0.19259999690000001,0.19220000510000002,0.20290000739999997,0.19910000260000002,0.1999000013,0.1909999996,0.2039999962,0.17309999469999998,0.1715999991,0.1791000068,0.1798000038,0.18279999489999998,0.18919999899999998,0.1969999969,0.1988999993,0.1951999962,0.18919999899999998,0.18359999359999998,0.1040000021,0.20790000260000002,0.1807000041,0.177699998,0.1805000007,0.19750000539999998,0.1967000067,0.18999999760000005,0.18629999460000002,0.1746000051,0.193599999,0.197300002,0.1084999964,1.8947222222222224
8,7957.8,36.9,0.20849999789999998,0.2171999961,0.2144999951,0.2126999944,0.21709999440000002,0.2145999968,0.2289000005,0.2260999978,0.2190999985,0.2317000031,0.2286999971,0.22900000210000002,0.2040999979,0.20649999379999998,0.2136999965,0.2069000006,0.21619999410000001,0.2220000029,0.227699995,0.2239000052,0.2150000036,0.2386000007,0.2304999977,0.23729999359999998,0.19910000260000002,0.2125999928,0.20649999379999998,0.208100006,0.21580000219999998,0.2109999955,0.2221000046,0.22540000079999997,0.23280000690000002,0.22450000050000002,0.2248000056,0.2434999943,0.21160000559999997,0.2177000046,0.2076999992,0.2060000002,0.2172999978,0.2208999991,0.2193000019,0.22079999739999998,0.21619999410000001,0.2208999991,0.2220000029,0.236499995,0.1994999945,0.20990000670000009,0.2115000039,0.20610000190000002,0.20790000260000002,0.21989999710000002,0.2215999961,0.2135999948,0.2137999982,0.2247000039,0.22280000149999998,0.22849999370000001,0.2173999995,0.2022999972,0.2126999944,0.2150000036,0.2118999958,0.215200007,0.21619999410000001,0.2250999957,0.22100000079999998,0.2260999978,0.2166000009,0.23080000280000001,0.19339999559999999,0.1916999966,0.1981000006,0.2021999955,0.201000005,0.2143999934,0.2132000029,0.21469999850000002,0.22759999329999997,0.21760000289999998,0.2109999955,0.1039000005,0.2299000025,0.2034000009,0.1948000044,0.20069999989999998,0.2277999967,0.2173999995,0.2155999988,0.21119999890000002,0.199000001,0.2224999964,0.2240999937,0.11249999699999999,2.2105
9,9094.6,37.3,0.2298000008,0.23960000280000002,0.2373999953,0.2348999977,0.23780000210000002,0.2348999977,0.2513999939,0.24410000440000001,0.2414000034,0.2542000115,0.2536999881,0.25409999489999996,0.2261999995,0.231099993,0.2354000062,0.23229999839999999,0.235799998,0.2423000038,0.2480999976,0.24279999730000001,0.23729999359999998,0.2610999942,0.2520999908,0.252700001,0.2202000022,0.23549999300000002,0.2289000005,0.2309000045,0.2363000065,0.2326000035,0.24009999629999998,0.2450000048,0.2495999932,0.2465000004,0.24469999969999998,0.2621999979,0.23280000690000002,0.236499995,0.2270999998,0.2250999957,0.2343000025,0.2398999929,0.2365999967,0.23999999460000002,0.2338999957,0.24150000510000005,0.24289999899999998,0.2583000064,0.2195000052,0.2266000062,0.2353000045,0.2268999964,0.22740000489999998,0.240199998,0.2410999984,0.2352000028,0.2348999977,0.2431000024,0.2434999943,0.24770000579999998,0.2372000068,0.2243999988,0.23499999940000002,0.24279999730000001,0.233099997,0.2363000065,0.23729999359999998,0.24379999940000002,0.23919999600000005,0.2443999946,0.2373999953,0.24840000269999998,0.2143999934,0.2145999968,0.22130000589999999,0.22280000149999998,0.2231000066,0.2325000018,0.23280000690000002,0.23420000079999997,0.2453999966,0.235799998,0.2311999947,0.1040999964,0.2481999993,0.2259999961,0.21629999579999998,0.2208999991,0.24469999969999998,0.2380000055,0.23870000239999997,0.2289000005,0.2205999941,0.24179999530000001,0.24150000510000005,0.11590000240000001,2.526277777777778
10,10231.5,36.6,0.2556000054,0.2666999996,0.2727000117,0.26249998809999997,0.2666000128,0.2632000148,0.2786000073,0.274300009,0.2707000077,0.2863000035,0.2851999998,0.2856000066,0.2506999969,0.2561999857,0.2612000108,0.2583999932,0.26379999519999997,0.2680000067,0.2732999921,0.2700999975,0.2678000033,0.2906000018,0.279700011,0.2788999975,0.2431000024,0.2556999922,0.2518000007,0.2526000142,0.2592999935,0.2587000132,0.2653000057,0.2721999884,0.2727000117,0.2754000127,0.2750999928,0.29139998559999997,0.2540000081,0.2552999854,0.2517000139,0.2486999929,0.2592999935,0.264200002,0.2682999969,0.263500005,0.2623000145,0.2687000036,0.2723999918,0.2870999873,0.2468000054,0.2474000007,0.258100003,0.24969999489999997,0.2492000014,0.2619000077,0.266900003,0.2605000138,0.2617999911,0.2752999961,0.2759999931,0.2754000127,0.25450000170000003,0.2469999939,0.25609999899999997,0.2648999989,0.2576999962,0.2590000033,0.2599999905,0.2653000057,0.2633999884,0.27340000870000003,0.2718999982,0.2752999961,0.2363000065,0.2344000041,0.24609999359999998,0.2465000004,0.24519999329999997,0.25819998980000003,0.2590999901,0.26140001420000003,0.2718000114,0.2649999857,0.258100003,0.10379999880000004,0.2716999948,0.2495000064,0.23790000379999998,0.25459998850000004,0.2707999945,0.2644999921,0.2608999908,0.2552999854,0.24840000269999998,0.2736999989,0.27579998969999997,0.110299997,2.842083333333333
