HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
00003	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	pulicaria	Daphnia												0.19		unknown	medium	acceptable						1294,1295,1296
00005	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster	Fruit fly	7	7										0.3		captivity	large	acceptable	0.05	0.04				2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150
00006	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	mellifera	Honey bee												8	812	unknown	medium	acceptable						63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166
00008	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Cardiocondyla	obscurior	Cardiocondyla obscurior												0.5	1293	captivity	medium	acceptable						1293
00009	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	niger	Black garden ant												28	411	unknown	medium	acceptable						411,813,814
00010	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole	dentata	Pheidole dentata												0.4	1156	captivity	medium	questionable						1156
00011	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	anynana	Squinting bush brown	15	15										0.5	811	wild	medium	acceptable						418,809,811
00012	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	americanus	American lobster												100	2	wild	medium	acceptable						2,13,594
00015	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	bombina	Firebelly toad	1095	1095			190							20	485	captivity	medium	acceptable						485,525,749
00016	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	orientalis	Oriental firebelly toad					148							15.8	451	captivity	large	acceptable						451,525,749
00017	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	variegata	Yellow-bellied toad					73							29		captivity	medium	acceptable						24,525,749
00018	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	americanus	American toad	910	910	8		6000		365			21.7667		36	525	captivity	medium	acceptable			0.00829	21.6	288	37,268,426,525,749
00019	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	boreas	Western toad	1095	1095	6		5200							11.5	451	captivity	medium	acceptable						437,451,526,749
00020	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	canorus	Yosemite toad	1825	1460	11		1750							15	503	wild	medium	acceptable						503,526,749
00021	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	cognatus	Great plains toad	730	730	4		11074							10.7	485	captivity	small	questionable						485,526,749
00022	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	debilis	Green toad					1300							12.4	451	captivity	small	acceptable						451,749
00023	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	hemiophrys	Canadian toad	730	730										13.3	451	captivity	small	acceptable						451,528
00024	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	punctatus	Red-spotted toad	730	730			1500							11.3	485	captivity	medium	acceptable						485,749
00025	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	retiformis	Sonoran green toad			2									15.3	451	captivity	small	acceptable						451,749
00026	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	terrestris	Southern toad			3		3250					19.267		10	451	captivity	medium	acceptable			0.00698	19.2	288	37,451,749
00027	Animalia	Chordata	Amphibia	Anura	Bufonidae	Atelopus	varius	Veragoa stubfoot toad												10	451	captivity	large	acceptable						451
00028	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bufo	Common European toad	1460	1460										40	451	captivity	medium	acceptable						451,525,526,1134
00029	Animalia	Chordata	Amphibia	Anura	Bufonidae	Incilius	alvarius	Colorado river toad		1095			7750							15.4	485	captivity	medium	acceptable						485,749
00030	Animalia	Chordata	Amphibia	Anura	Bufonidae	Nectophrynoides	asperginis	Kihansi spray toad												5	990	captivity	medium	questionable						990
00031	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	lemur	Ridge-headed toad												10.7	451	captivity	small	acceptable						451
00032	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	peltocephala	Cuban toad												20	485	captivity	small	acceptable						485
00033	Animalia	Chordata	Amphibia	Anura	Bufonidae	Pseudepidalea	viridis	European green toad												11.9	451	captivity	large	acceptable						451
00034	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhaebo	blombergi	Colombian giant toad												28.7	451	captivity	tiny	acceptable						451
00035	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	arenarum	Argentine toad														unknown	small	low						451,525
00036	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	marina	Cane toad	365	365	2		10000					106.25		24.8	485	captivity	large	acceptable			0.0303	105	293	37,296,485,749
00037	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	schneideri	Eurura toad												15.1	451	captivity	small	acceptable						451
00038	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	aurita	Common horned frog												12.8	451	captivity	small	acceptable						451
00039	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	calcarata	Colombian horned frog												15.9	451	captivity	tiny	acceptable						451
00040	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	cornuta	Amazonian horned frog												10.3	485	captivity	small	acceptable						485,749
00041	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	ornata	Ornate horned frog												14.7	451	captivity	medium	acceptable						451
00042	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	auratus	Green and black dart-poison frog	365	365	12		6							20.5	448	captivity	large	acceptable						448,749
00043	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	leucomelas	Yellow-banded poison frog	75	75	12		7							11.5	451	captivity	large	acceptable						451,749
00044	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	tinctorius	Blue poison-dart frog														unknown	large	low						451
00045	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	histrionica	Kokoe-pa poison dart frog												9.1	451	captivity	medium	acceptable						451
00046	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	pumilio	Strawberry poison frog												7.5	451	captivity	medium	acceptable						451
00047	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Phyllobates	vittatus	Golfo dulce poison-dart frog	304	304	15		14									unknown	medium	low						749
00048	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Hoplobatrachus	occipitalis	African tigrine frog										48.1		10.9	451	captivity	small	acceptable						451,749
00049	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	blanchardi	Blanchard's cricket frog										1				unknown	small	low						1096
00050	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	crepitans	Northern cricket frog												4.9	485	captivity	small	questionable						485,749,1096
00051	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	callidryas	Red-eyed tree frog														unknown	large	low						485
00052	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	spurrelli	Maroon-eyed tree frog												5.5	451	captivity	tiny	acceptable						451
00053	Animalia	Chordata	Amphibia	Anura	Hylidae	Diaglena	spatulata	Treefrog												12.8	451	captivity	tiny	acceptable						451
00054	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	arborea	European tree frog												22	451	captivity	small	acceptable						451
00055	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	chrysoscelis	Cope's gray treefrog	730	547	21		35							7.8	485	captivity	medium	acceptable						485,528,749
00056	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	cinerea	Green treefrog	730	730			1222									unknown	medium	low						485,749
00057	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	gratiosa	Barking treefrog					2250							12.5	451	captivity	medium	acceptable						451,749
00058	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	japonica	Japanese treefrog	1278	1278			920							8.9	451	captivity	small	acceptable						451,749
00059	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	squirella	Squirrel treefrog			1		1000	1						8.5	485	captivity	medium	acceptable						485,749
00060	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	versicolor	Gray treefrog	730	730	4		1800					7.2		7.8	543	captivity	medium	acceptable			0.00433	6.97	290.5	37,528,543,749
00061	Animalia	Chordata	Amphibia	Anura	Hylidae	Hypsiboas	rosenbergi	Rosenberg's treefrog					775									unknown	small	low						485,749
00062	Animalia	Chordata	Amphibia	Anura	Hylidae	Litoria	caerulea	Australian green treefrog					1100							20	451	captivity	large	acceptable						451,749
00063	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	septentrionalis	Cuban treefrog	255	120	1		1500							12.9	451	captivity	medium	acceptable						451,749
00064	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	vastus	Hispaniola giant treefrog												6.6	451	captivity	small	questionable						451
00065	Animalia	Chordata	Amphibia	Anura	Hylidae	Pachymedusa	dacnicolor	Mexican leaf frog												8.7	451	captivity	small	acceptable						451
00066	Animalia	Chordata	Amphibia	Anura	Hylidae	Phyllomedusa	bicolor	Waxy treefrog												10.3	451	captivity	medium	acceptable						451
00067	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	crucifer	Spring peeper	912	912	10		700					4				unknown	small	low			0.00105	0.9	292	37,451,525,528,749
