model,submodel,quality,type,stop,diagnosis,fix-scrapping
1000,0.02,2,A,194,822,0
1000,0.02,3,A,1777,1954,0
1000,0.02,5,A,17140,17180,0
1000,0.02,4,A,4191,4304,1
1000,0.02,4,A,661,807,0
1000,0.02,2,A,360,819,0
1000,0.02,2,A,3146,3798,0
1000,0.02,3,B,1311,1607,0
1000,0.02,4,B,3702,3795,1
1000,0.02,5,A,20084,20109,0
1000,0.02,3,A,2064,2428,0
1000,0.02,3,A,17,284,0
1000,0.02,5,B,9463,9495,1
1000,0.02,2,B,804,1006,0
1000,0.02,3,A,1684,2115,1
1000,0.02,4,A,2286,2424,1
1000,0.02,0,B,28,1068,0
1000,0.02,2,B,1421,1936,0
1000,0.02,4,B,1547,1648,0
1000,0.02,0,A,692,2238,0
1000,0.02,2,A,1001,1650,0
1000,0.02,5,B,1019,1091,0
1000,0.02,0,A,538,1183,0
1000,0.02,1,A,575,1607,0
1000,0.02,5,A,1117,1143,0
1000,0.02,0,A,1537,2900,0
1000,0.02,0,B,67,980,0
1000,0.02,4,B,15435,15478,0
1000,0.02,5,B,22893,22919,0
1000,0.02,5,A,9701,9768,1
1000,0.02,5,A,4245,4306,0
1000,0.02,0,A,28,1538,0
1000,0.02,0,B,996,2739,0
1000,0.02,0,A,409,1427,0
1000,0.02,0,A,608,2399,0
1000,0.02,1,A,437,1360,0
1000,0.02,3,A,4105,4311,0
1000,0.02,1,A,121,999,0
1000,0.02,4,A,2017,2076,0
1000,0.02,3,B,3284,3505,0
1000,0.02,2,B,703,969,0
1000,0.02,1,A,995,1911,0
1000,0.02,3,B,1313,1587,1
1000,0.02,2,B,4915,5299,0
1000,0.02,1,A,1744,2361,0
1000,0.02,3,B,3165,3387,0
1000,0.02,1,A,1266,1681,1
1000,0.02,3,A,2081,2381,0
1000,0.02,2,B,7100,7331,0
1000,0.02,0,B,749,1568,0
1000,0.02,0,B,423,1533,0
1000,0.02,5,A,10756,10822,1
1000,0.02,1,A,965,1730,0
1000,0.02,4,A,743,859,1
1000,0.02,4,A,14883,14959,0
1000,0.02,4,B,13627,13707,1
1000,0.02,3,A,7622,7785,0
1000,0.02,3,B,128,426,1
1000,0.02,4,B,35780,35879,0
1000,0.02,5,B,8034,8102,0
1000,0.02,5,B,1096,1156,1
1000,0.02,4,B,12034,12139,0
1000,0.02,0,A,169,1321,0
1000,0.02,0,B,1245,2890,0
1000,0.02,2,B,431,702,1
1000,0.02,2,B,259,690,0
1000,0.02,3,B,430,609,0
1000,0.02,0,A,344,1666,0
1000,0.02,3,B,1304,1498,0
1000,0.02,1,A,547,1411,0
1000,0.02,2,B,523,756,0
1000,0.02,2,B,6532,6865,1
1000,0.02,3,A,516,851,0
1000,0.02,3,A,5540,5717,0
1000,0.02,0,B,486,1382,0
1000,0.02,2,B,4078,4554,0
1000,0.02,1,B,1045,1749,0
1000,0.02,2,A,117,428,0
1000,0.02,5,A,35,71,0
1000,0.02,3,A,257,645,1
1000,0.02,2,A,1462,1964,0
1000,0.02,5,A,422,465,0
1000,0.02,0,B,389,1474,0
1000,0.02,3,A,448,617,1
1000,0.02,0,A,225,1460,0
1000,0.02,2,B,1267,1619,0
1000,0.02,2,B,6343,6910,0
