model,submodel,quality,type,stop,diagnosis,fix-scrapping
1000,0.02,0,A,602,1661,0
1000,0.02,1,A,42,911,0
1000,0.02,0,A,945,2164,0
1000,0.02,0,A,141,954,0
1000,0.02,1,A,38,709,0
1000,0.02,2,B,462,1015,0
1000,0.02,2,B,35,287,0
1000,0.02,1,A,184,956,0
1000,0.02,2,B,803,1402,0
1000,0.02,5,A,687,716,1
1000,0.02,2,A,1675,2045,0
1000,0.02,2,A,1949,2271,0
1000,0.02,4,B,1831,1879,0
1000,0.02,5,B,7964,7993,0
1000,0.02,1,A,1389,2074,0
1000,0.02,4,A,5021,5151,1
1000,0.02,3,A,65,448,0
1000,0.02,4,A,843,904,0
1000,0.02,5,A,1848,1883,1
1000,0.02,1,A,265,1407,0
1000,0.02,0,A,138,913,0
1000,0.02,3,B,1929,2209,1
1000,0.02,4,A,2476,2610,0
1000,0.02,0,B,776,1410,0
1000,0.02,1,A,2082,2886,0
1000,0.02,2,B,1857,2206,0
1000,0.02,5,A,18498,18541,1
1000,0.02,1,B,3350,3794,0
1000,0.02,3,A,407,798,1
1000,0.02,1,A,266,952,0
1000,0.02,3,A,1977,2198,0
1000,0.02,2,B,542,950,0
1000,0.02,2,A,935,1425,0
1000,0.02,5,B,6339,6385,0
1000,0.02,0,B,642,2004,0
1000,0.02,0,A,269,1161,0
1000,0.02,2,B,2938,3235,1
1000,0.02,1,A,479,918,1
1000,0.02,0,A,163,1599,1
1000,0.02,2,B,2858,3142,0
1000,0.02,3,A,1081,1475,0
1000,0.02,4,B,685,800,1
1000,0.02,1,B,911,1552,0
1000,0.02,0,B,666,2087,0
1000,0.02,3,A,3805,4118,0
1000,0.02,0,A,293,1043,0
1000,0.02,2,B,1780,2177,0
1000,0.02,1,B,1537,2246,0
1000,0.02,5,A,7587,7629,0
1000,0.02,3,B,3904,4091,0
1000,0.02,5,A,1139,1196,0
1000,0.02,3,A,883,1135,0
1000,0.02,4,B,2189,2269,1
1000,0.02,3,B,3947,4122,1
1000,0.02,1,B,2391,3394,0
1000,0.02,4,A,966,1022,0
1000,0.02,5,B,6534,6569,0
1000,0.02,2,A,27,267,0
1000,0.02,0,A,1308,2122,0
1000,0.02,5,B,337,376,1
1000,0.02,1,A,36,1116,0
1000,0.02,2,A,1330,1888,0
1000,0.02,3,B,12036,12298,0
1000,0.02,4,A,3904,3999,0
1000,0.02,1,B,457,832,0
1000,0.02,1,B,519,1059,0
1000,0.02,3,B,2261,2407,1
1000,0.02,0,A,767,2195,0
1000,0.02,3,B,2684,2935,0
1000,0.02,0,B,860,1478,0
1000,0.02,5,A,16569,16630,1
1000,0.02,1,A,590,996,0
1000,0.02,1,B,55,808,0
1000,0.02,3,A,2982,3250,0
1000,0.02,5,A,5561,5605,0
